sub,erq_cog_reap_s,erq_exp_supp_s,income_s,tas_total_s,cesd_total_s,gad_total_s,irq_total_s,bfi_extraversion_s,bfi_neuroticism_s,ius_total_s,liberalism_s,age_s,covid_knowledge_s,covid_estimate_log_s,covid_behave1_s,covid_behave2_s,covid_media_facebook_s,covid_media_youtube_s,covid_media_twitter_s,covid_media_other_s,covid_media_govt_s,covid_media_online_s,covid_media_tv_s,covid_media_usa_s,covid_media_int_s,gender,covid_infect,education_s,household_num_s,social_events_s,covid_emo_distress_s
1,-0.8394533488391995,0.18236968053564004,0.8112771463029355,0.7785053933729408,0.9960356086415303,0.18487003036311359,-0.8047022694793726,-0.32542111414711056,0.4202521763450592,-0.5087918788466873,-0.33795939525933477,-1.3705679611549486,-1.2844314411554403,0.46134587019936457,-0.8604699663045372,-1.9043436980082338,0.7028778255958561,1.7271727200375109,0.8196910168430899,0.5903420335961732,-0.35295613354105315,-0.2426476108330308,0.05533028710191937,-1.234468645541545,0.801294195139227,0,1,-4.80937126103994,0.5760006623290885,1.5836987788565509,0.24774565916691593
2,-0.38095415081755873,-1.1563528858742127,1.8641049829835414,-0.04804081887652456,0.5801799947103355,0.8661403463368034,0.9547912758418657,0.7704908439753072,1.1998980925390244,1.013969608593438,-0.33795939525933477,-1.1196364199558348,0.9314757585085395,-1.0678442985954255,-0.2918640260005552,0.6814540948470621,1.4609303610507725,-0.7499221946305077,-0.7422528705282655,1.3143320049405096,0.46116166353174076,0.5115488975922589,-1.3070882108882016,-0.15983478330703232,-0.940969330071753,1,0,0.20210176010288783,-0.33181085535665694,-1.7386808575349146,0.8221043430663303
3,-0.07528801880313184,0.7561079232827198,0.28486322796263247,-0.46131392500125723,-0.6673868470832487,-0.3260827066171537,1.1307406303739895,0.5878388509549044,-0.04753537337131981,0.15741627190836763,0.1678059805128965,-0.05317736985960119,0.3774989585925452,-0.14718007883202963,-0.39524692423764196,-0.6114448015805859,-0.05517470985906033,-0.7499221946305077,-0.7422528705282655,-0.8576379090924997,-0.35295613354105315,-0.2426476108330308,-1.3070882108882016,-1.234468645541545,-0.940969330071753,1,1,0.20210176010288783,0.12209490348621581,-1.3695275646025298,-1.5427296258460537
4,-0.38095415081755873,-0.582614643127133,1.3376910646432385,-0.7092777886760968,-1.2495847065869212,-1.177670601584266,-0.27685420588300114,1.3184468230365167,-1.2949688392816636,-1.4605178084967654,-0.034500169795996016,-0.868704878756721,0.3774989585925452,0.4342352140586183,-0.3263249920795837,-1.0424111003898018,-0.05517470985906033,0.9014744151481714,-0.7422528705282655,-0.8576379090924997,0.46116166353174076,0.5115488975922589,0.7365395360969799,-0.15983478330703232,-0.06983756746626303,0,0,0.20210176010288783,0.5760006623290885,-0.2620676858053746,-1.0357701752613666
5,0.5360442452257228,1.1386000851141063,-1.2943785270582766,0.7785053933729408,2.742629187152548,2.3989985572776056,1.3066899849061133,-1.7866370583103341,1.8236148254941962,2.1560407241735313,1.3479251906481027,-0.9314377640564995,0.3774989585925452,-3.856947614026363,-1.0327747966996834,-1.0424111003898018,-0.8132272453139767,-0.7499221946305077,-0.7422528705282655,1.3143320049405096,0.46116166353174076,-0.2426476108330308,0.7365395360969799,-0.15983478330703232,-0.06983756746626303,1,0,-1.33988993871029,1.0299064211719613,0.8453921929917806,0.7195402923700065
6,-0.9922864148464133,-0.20012248129574647,-0.24155069037767057,1.27443312072262,0.7465222402828134,0.5255051883499585,0.6615423516216593,-0.32542111414711056,1.1998980925390244,0.9187970156284301,-0.33795939525933477,-0.9941706493562779,-0.17647784132345035,0.68480342574382,-0.6020127207118179,0.6814540948470621,-0.05517470985906033,2.5528710249268505,0.03871907315741221,0.5903420335961732,-0.35295613354105315,0.5115488975922589,0.7365395360969799,-0.15983478330703232,-0.06983756746626303,0,1,0.20210176010288783,1.0299064211719613,0.8453921929917806,0.43822175331723195
7,1.3002095752617904,0.3736157614513333,1.3376910646432385,-1.3705147584756692,-0.8337290926557266,-0.49640028561057614,-1.0393014088555377,0.5878388509549044,-0.04753537337131981,-0.8894822507067185,1.3479251906481027,-0.6805062228573857,0.3774989585925452,-1.0678442985954255,0.3284333634219714,-0.18047850277136987,-0.8132272453139767,-0.7499221946305077,-0.7422528705282655,-0.13364793774816322,-0.35295613354105315,0.5115488975922589,-1.3070882108882016,-0.15983478330703232,-0.06983756746626303,1,0,0.20210176010288783,-0.33181085535665694,-1.7386808575349146,0.8221043430663303
8,-0.38095415081755873,0.5648618423670265,1.3376910646432385,0.44788690847315465,0.5801799947103355,0.014552451369691159,-0.6287529149472488,-0.32542111414711056,0.10839380986747305,0.8236244226634221,0.13408828879474774,0.1977541713395126,0.3774989585925452,0.3764493182536452,0.3284333634219714,0.6814540948470621,-0.05517470985906033,0.9014744151481714,0.8196910168430899,0.5903420335961732,-0.35295613354105315,0.5115488975922589,0.05533028710191937,-1.234468645541545,-0.06983756746626303,0,0,1.7440934589160657,-0.33181085535665694,-0.2620676858053746,0.21844164468225205
9,-0.8394533488391995,0.7561079232827198,0.28486322796263247,0.8611600145978873,-0.5842157242970097,-0.15576512762373126,-1.1566009785436202,-0.8733770932083195,-0.20346455661011267,0.2525888648733751,0.7072890480032765,-0.6177733375576072,0.9314757585085395,0.921677980081063,0.6902735072517786,0.2504877960378461,-0.8132272453139767,-0.7499221946305077,-0.7422528705282655,0.5903420335961732,-0.35295613354105315,-0.2426476108330308,-0.6258789618931412,-1.234468645541545,-0.06983756746626303,1,0,0.20210176010288783,0.12209490348621581,1.2145454859241656,-0.605001162336806
10,-1.145119480853627,1.7123383278611861,0.8112771463029355,0.6958507721479942,1.1623778542140082,2.0583633992907604,0.8961414909978245,-0.6907251001879161,0.5761813595838521,2.0608681312085237,0.33639443910364025,-0.6805062228573857,-0.17647784132345035,0.921677980081063,-0.06786774648686443,-0.18047850277136987,-0.8132272453139767,-0.7499221946305077,0.03871907315741221,-0.8576379090924997,-1.981191727686641,0.5115488975922589,0.7365395360969799,-0.15983478330703232,-0.06983756746626303,0,0,1.7440934589160657,-0.7857166141995297,0.8453921929917806,0.951042006798852
11,0.38321117921850895,-1.1563528858742127,1.3376910646432385,-0.8745870311259899,-0.6673868470832487,0.5255051883499585,1.013441060685907,1.501098816056919,0.10839380986747305,-1.175000029601742,0.4375475142580865,-1.1196364199558348,0.3774989585925452,0.2431801263355649,0.8625783376469248,0.6814540948470621,2.218982896505689,0.07577611025883182,2.381634904214445,2.038321976284846,-0.35295613354105315,0.5115488975922589,1.4177487850920405,0.9147990789274802,0.801294195139227,1,0,0.5875996848061823,-0.33181085535665694,-0.6312209787377596,1.217708538609294
12,0.8417103772401497,-0.9651068049585195,-0.7679646087179736,-0.9572416523509364,-1.4159269521593991,-1.177670601584266,1.3066899849061133,-0.6907251001879161,-0.9831104728040778,-1.9363807733218046,-0.9785955379041611,-0.9941706493562779,0.9314757585085395,0.27908718726118287,-2.7902840667301745,-2.3353099968174496,2.218982896505689,0.07577611025883182,-0.7422528705282655,-0.13364793774816322,1.2752794606045348,1.2657454060175486,1.4177487850920405,-0.15983478330703232,-0.06983756746626303,0,0,-0.9543920140069955,-0.33181085535665694,0.8453921929917806,-0.40573386384109067
