sub,covid_emo_distress_1_1,covid_emo_distress_1_2,covid_emo_distress_1_3,covid_emo_distress_1_4,covid_emo_distress_1_5,covid_emo_distress_1_6,covid_emo_distress_1_7,covid_emo_distress_1_8,covid_emo_distress_2_1,covid_emo_distress_2_2,covid_emo_distress_2_3,covid_emo_distress_2_4,covid_emo_distress_2_5,covid_emo_distress_2_6,covid_emo_distress_2_7
72,100,18,27,89,89,92,0,100,80,82,59,84,71,0,53
73,10,80,5,10,5,20,60,10,50,0,0,0,50,50,0
74,100,0,75,83,50,87,51,24,100,100,100,100,100,0,100
75,100,0,80,90,100,65,0,0,60,100,100,100,80,0,73
76,99,6,93,92,31,96,95,100,87,100,100,99,98,0,55
77,100,17,80,96,99,100,100,99,100,99,100,99,98,0,100
78,100,50,100,100,100,0,0,0,75,100,100,100,100,100,100
79,61,28,60,79,68,70,24,56,34,44,45,69,43,26,13
80,100,1,100,100,100,100,100,99,100,100,100,100,100,0,100
81,70,30,50,100,80,5,0,52,50,70,50,90,75,20,0
82,100,70,1,100,10,0,0,25,70,70,70,95,25,10,0
83,100,11,78,78,78,61,66,68,43,67,56,71,61,1,3
84,100,16,87,100,90,34,51,85,80,100,50,87,100,0,73
85,20,92,91,83,10,12,75,100,4,1,0,60,82,91,0
86,100,0,80,100,80,10,100,100,70,100,80,100,50,0,50
87,10,97,5,5,0,0,0,0,90,5,0,0,1,100,0
88,70,40,80,100,10,45,0,0,95,100,100,100,80,25,70
89,75,40,70,100,80,40,70,70,60,75,65,75,75,10,50
90,20,61,21,49,7,0,0,0,16,7,0,10,32,21,4
91,61,51,32,49,44,37,27,48,28,21,22,27,51,45,53
92,80,56,25,90,35,20,2,5,89,86,22,87,61,19,73
93,51,31,78,83,81,19,0,23,26,42,28,65,46,41,0
94,87,86,85,82,81,84,86,84,20,21,23,19,21,22,19
95,100,0,75,100,100,10,100,100,100,100,90,100,100,0,75
96,25,76,12,12,24,30,9,60,15,21,0,17,17,51,18
97,35,64,7,30,3,24,57,55,32,15,8,15,23,21,6
98,70,45,85,95,90,40,5,5,70,80,75,75,90,25,15
99,65,65,42,91,75,23,74,75,70,57,17,67,97,9,0
100,44,53,45,44,54,45,46,54,61,40,36,44,53,43,42
101,9,51,51,82,61,0,0,0,20,0,0,0,0,50,0
102,19,85,58,82,79,10,3,1,80,17,4,40,83,70,53
103,71,51,71,52,51,61,53,51,65,51,52,50,51,32,52
104,90,22,21,78,62,73,73,75,97,89,44,67,59,4,79
105,100,0,100,100,100,50,75,74,100,100,71,99,100,18,85
106,82,60,20,100,78,18,0,0,70,41,14,69,81,20,20
107,100,100,100,100,81,26,30,39,80,72,86,73,78,28,75
108,30,69,12,51,4,33,8,47,20,17,12,21,8,16,3
109,75,40,65,57,61,63,53,73,95,67,53,73,79,31,90
110,21,86,6,13,9,29,0,1,9,5,0,1,1,91,1
111,100,51,87,100,86,8,80,95,88,95,68,94,91,7,78
113,95,33,73,100,100,95,0,0,68,86,32,71,69,69,29
114,15,88,15,42,16,89,10,7,28,11,3,10,5,83,9
115,70,30,70,100,70,0,80,100,100,70,20,80,70,20,50
116,60,56,20,80,30,12,25,45,40,40,10,60,20,40,11
117,92,34,68,100,93,84,0,64,66,78,76,84,77,10,70
118,90,60,60,90,71,80,16,17,40,60,30,60,30,45,40
119,38,56,41,72,77,32,0,1,0,29,1,11,1,34,0
120,0,100,83,90,20,0,81,81,0,0,1,63,1,51,1
121,81,66,8,7,7,5,0,0,75,56,14,15,55,73,0
122,70,50,51,79,74,26,24,70,21,28,28,28,28,11,0
123,92,11,92,100,100,100,70,91,82,92,63,93,94,0,59
124,60,80,35,100,10,0,0,0,0,0,0,0,0,30,0
125,71,28,58,84,96,26,77,7,100,62,41,68,73,14,67
126,30,70,29,30,14,0,38,37,22,5,0,5,22,75,0
127,20,100,25,30,25,0,0,0,39,0,0,0,61,65,0
128,80,70,60,100,90,40,80,25,85,50,40,90,90,15,70
129,97,69,64,92,94,100,51,66,77,77,89,76,94,31,53
130,29,87,16,20,17,12,13,14,25,21,19,28,21,78,18
131,100,14,85,3,65,38,0,0,61,70,54,73,73,0,1
132,27,81,19,58,51,58,38,61,24,4,12,24,16,48,5
133,80,45,60,75,80,25,30,60,90,60,10,70,80,20,45
134,100,6,85,98,60,4,1,25,97,86,40,61,89,4,1
135,75,11,81,99,20,11,0,0,95,89,90,91,98,13,43
137,50,100,100,100,20,60,0,0,100,59,40,50,70,50,0
138,68,33,59,56,20,31,39,33,14,65,19,60,31,5,7
139,56,32,0,100,61,24,100,100,42,36,16,41,11,63,1
140,72,21,42,65,61,73,12,14,84,78,57,70,83,11,78
141,100,0,50,50,0,100,100,100,60,100,60,100,100,0,50
142,75,25,40,100,40,70,0,0,40,15,0,40,10,60,0
143,100,100,100,100,70,100,100,100,100,100,80,100,74,50,0
144,50,82,1,1,1,67,1,1,11,11,3,12,5,86,4
145,20,90,35,30,25,0,0,10,0,5,0,5,0,90,0
146,51,60,17,28,50,3,20,11,20,30,1,18,62,9,17
147,100,0,84,100,100,100,100,100,100,100,100,99,100,0,100
148,80,78,19,83,85,99,98,99,61,85,15,89,71,43,48
149,98,19,50,98,98,98,6,30,87,90,92,87,90,27,49
151,41,62,35,68,30,53,22,23,38,38,9,45,48,20,0
152,100,10,40,100,75,0,0,0,100,90,60,100,100,75,80
153,20,0,0,100,0,100,100,100,0,100,0,15,0,0,0
154,100,20,80,100,90,40,90,90,90,100,60,90,90,35,60
155,100,0,77,100,87,85,0,0,94,86,46,86,92,14,74
156,30,67,12,42,27,22,13,51,19,26,21,27,10,51,12
157,66,28,59,80,43,24,32,18,18,11,26,15,9,70,24
158,100,20,86,100,100,0,0,0,27,82,61,80,81,25,21
159,100,0,82,75,75,17,30,18,60,73,74,73,77,7,68
160,70,44,0,0,0,0,72,58,21,24,23,21,68,54,0
161,93,5,54,86,96,91,97,98,84,80,17,92,81,51,10
162,100,8,91,94,100,100,80,94,100,100,100,100,100,78,80
163,98,8,100,100,74,87,0,77,81,92,28,81,92,3,31
164,5,90,10,20,20,10,5,10,5,5,0,5,5,80,0
165,100,4,100,100,100,71,7,100,100,99,5,100,100,1,15
166,100,31,100,100,84,84,100,99,100,100,86,100,100,27,0
167,91,16,38,74,30,91,16,12,78,62,88,59,100,25,63
168,10,90,0,25,0,0,0,0,10,0,0,0,0,0,0
169,100,0,99,100,100,100,99,100,82,86,87,88,89,23,96
170,75,41,60,76,80,32,66,69,66,55,43,60,78,39,61
171,100,16,56,100,90,0,63,100,67,100,89,100,85,66,89
172,100,9,83,86,88,26,0,51,100,89,50,80,81,0,42
173,82,34,54,100,100,74,75,100,40,79,7,83,78,30,23
174,100,0,25,100,70,0,0,100,100,100,25,75,90,0,50
175,90,51,51,81,19,0,0,0,51,33,6,61,65,0,55
176,29,47,50,56,40,4,17,45,9,16,11,13,12,39,4
177,75,40,43,100,66,73,63,60,43,69,45,79,65,26,67
178,65,60,70,70,40,20,100,100,60,50,0,60,100,40,30
179,92,78,51,77,93,93,51,100,0,62,0,43,1,30,1
180,51,74,58,70,78,83,30,18,67,79,38,57,66,13,29
181,95,40,75,95,95,65,15,40,75,75,75,90,75,70,40
182,0,51,51,75,0,80,0,77,25,0,0,0,75,60,0
183,75,56,57,67,33,56,93,95,41,60,22,60,60,34,34
184,55,40,30,90,70,65,75,75,45,50,30,60,45,20,60
185,100,29,73,91,90,21,82,79,74,76,78,69,75,13,79
186,100,0,100,100,100,0,0,0,20,20,20,100,20,0,100
187,10,0,100,100,85,85,50,100,90,100,85,95,100,0,50
188,70,51,61,70,83,8,0,25,71,39,12,60,74,73,0
189,73,17,22,85,17,11,12,12,0,21,16,17,19,66,17
190,60,51,10,75,30,0,0,0,15,10,0,10,45,55,0
191,100,30,15,95,100,90,7,45,42,75,32,43,91,0,33
192,73,42,64,86,58,63,17,77,13,59,53,64,58,26,39
193,60,50,70,85,40,65,50,20,60,65,25,60,45,50,30
194,70,40,20,25,85,55,0,100,80,40,5,70,55,10,5
195,30,70,19,67,21,58,37,44,91,38,29,37,47,65,31
196,63,45,47,70,60,63,27,87,66,53,51,61,66,43,38
197,77,83,91,100,100,0,88,100,100,73,51,71,100,0,100
198,84,4,64,73,38,0,100,100,83,70,32,63,95,18,67
200,96,24,40,86,58,76,0,0,56,78,13,78,34,61,0
201,75,50,40,70,35,40,0,0,55,40,30,50,65,20,30
202,100,1,87,91,92,94,58,85,85,88,87,90,91,93,92
203,100,100,100,100,100,100,100,100,90,100,60,100,100,0,100
204,90,10,40,100,55,100,0,0,90,100,70,100,100,0,32
205,51,68,51,70,21,9,5,13,19,17,3,29,37,58,7
206,100,0,61,100,62,100,100,100,100,100,100,100,100,9,100
207,71,20,74,86,75,100,75,75,95,70,60,70,90,25,35
208,29,68,58,70,34,64,35,20,7,9,7,4,6,92,2
209,81,39,68,97,15,12,13,100,22,79,28,100,23,51,0
210,65,90,5,55,5,0,0,0,0,0,0,0,5,10,0
211,84,13,17,80,63,28,98,99,30,75,13,57,69,27,13
212,54,74,61,54,95,1,0,60,18,60,52,57,55,75,37
213,66,80,40,92,81,69,9,22,62,62,62,72,78,73,71
214,43,65,25,52,1,0,0,0,31,2,0,6,32,8,0
215,61,50,22,44,9,17,5,60,54,39,7,52,52,81,3
216,86,39,85,92,74,5,100,100,100,90,10,100,100,10,64
217,80,30,70,90,100,10,0,60,85,90,65,90,95,10,0
220,70,41,13,32,46,94,60,71,26,59,50,53,50,37,59
221,100,0,63,100,100,0,0,97,72,86,100,100,100,83,73
222,85,12,32,70,70,25,63,70,61,61,54,63,84,34,61
223,68,92,16,73,71,73,28,79,69,66,63,62,63,82,36
224,100,2,100,100,100,99,1,51,97,100,99,98,99,51,51
225,90,10,92,88,79,21,63,93,33,59,53,73,34,15,22
226,14,81,19,0,5,3,0,0,10,3,1,1,0,46,0
227,40,51,20,20,60,0,0,60,20,20,0,10,0,70,0
228,30,80,65,80,15,15,5,70,70,10,15,15,70,70,15
229,100,40,70,100,80,50,60,60,80,100,55,100,90,35,60
230,91,30,90,100,90,30,100,100,95,75,30,95,85,20,80
231,100,5,100,100,85,0,0,91,100,100,100,100,92,10,0
232,90,51,30,80,90,90,80,75,100,70,30,85,100,65,100
233,60,40,20,85,10,30,0,0,20,20,15,20,20,15,5
234,77,59,17,72,21,14,81,96,27,61,24,68,61,28,31
235,100,0,12,100,100,100,100,100,100,100,100,98,100,0,90
236,0,100,80,70,50,50,0,0,0,0,0,51,0,100,0
237,61,19,80,92,21,67,85,84,77,50,24,76,81,7,65
238,76,12,18,70,14,40,22,32,35,64,17,27,7,23,20
239,75,70,80,60,75,35,0,40,25,60,35,70,20,55,0
240,85,35,55,100,65,5,55,70,70,65,60,65,80,45,90
241,77,43,90,92,64,10,81,80,71,63,37,77,68,13,63
242,50,86,35,1,1,0,0,4,23,2,2,45,1,50,0
243,84,7,72,74,73,39,64,53,18,60,64,64,61,5,23
244,80,0,70,95,80,55,50,75,80,80,65,75,80,40,75
245,70,45,47,59,64,43,36,45,58,55,41,57,57,55,43
246,30,30,24,86,42,33,15,52,52,40,0,10,29,40,16
247,76,30,19,91,93,92,92,93,71,72,41,71,69,39,51
248,99,1,100,98,98,27,46,45,88,98,88,97,91,3,51
249,7,94,9,16,1,1,0,1,23,2,0,4,18,74,1
250,10,100,0,70,0,0,0,0,25,0,0,0,25,75,0
251,76,24,34,71,20,20,87,88,50,66,32,65,56,41,66
253,18,91,9,83,7,0,0,20,40,8,8,20,8,77,9
254,55,78,56,66,0,0,0,0,32,35,0,29,28,0,0
255,90,10,90,90,80,60,70,90,60,80,75,80,80,40,40
256,90,61,80,100,66,0,0,20,60,70,35,87,19,10,0
257,75,50,50,75,100,0,0,50,0,50,50,50,0,20,0
258,35,60,50,75,40,5,10,10,75,25,0,20,70,40,20
259,85,25,25,95,60,15,80,80,80,61,30,75,100,10,35
260,72,55,69,100,40,60,100,99,64,58,58,59,60,45,58
261,100,50,100,100,100,0,0,50,70,100,50,100,70,0,50
262,80,18,60,92,81,10,61,91,61,61,20,79,85,20,19
263,100,0,30,100,100,100,100,100,100,100,100,100,100,0,100
264,93,20,38,63,75,55,60,85,71,56,40,65,60,45,30
265,90,60,55,85,65,95,0,75,35,25,5,65,10,30,0
266,8,75,27,29,16,0,0,8,4,7,6,11,17,56,0
267,80,11,90,100,100,3,0,90,78,81,60,91,100,18,0
268,6,94,7,7,0,6,0,1,8,7,5,4,5,20,0
269,100,0,74,74,100,0,100,100,72,100,100,100,100,47,24
270,95,57,68,80,30,19,53,59,29,55,32,61,58,47,50
271,32,72,8,70,17,2,60,59,72,15,14,13,61,63,1
274,100,69,80,100,90,10,0,80,80,80,10,90,75,0,0
275,100,7,58,92,64,86,59,100,84,100,73,100,100,17,34
276,71,74,71,71,34,17,0,56,81,53,44,45,55,16,0
277,75,49,0,21,16,87,100,100,62,55,0,52,59,66,8
278,65,41,51,84,25,59,51,82,40,56,32,60,51,44,51
279,80,55,30,60,75,55,65,60,45,60,20,70,55,5,75
280,30,80,50,87,0,0,0,82,0,5,0,5,0,50,0
281,75,40,10,80,40,6,99,100,85,70,30,75,85,40,20
282,80,42,59,57,71,61,57,70,57,45,31,43,26,18,31
283,51,51,45,89,36,43,59,45,70,36,27,37,44,47,5
284,40,60,0,45,41,0,0,0,0,0,0,10,0,30,0
285,48,46,63,70,42,26,9,55,43,46,31,44,39,83,33
286,20,100,0,100,0,0,100,100,30,0,0,30,0,50,0
287,70,60,40,85,65,77,84,95,30,50,19,77,60,30,17
288,83,14,61,90,76,21,75,93,14,59,47,64,20,6,4
289,70,61,61,80,60,0,80,82,61,56,12,58,90,58,12
290,100,20,80,100,100,80,0,80,100,100,70,100,100,20,100
291,20,65,25,60,15,0,0,10,10,15,0,25,0,50,0
292,73,31,78,82,67,79,73,62,80,72,83,81,78,34,48
293,76,38,39,77,74,70,72,72,72,72,73,73,75,54,64
294,60,31,24,55,20,74,0,60,10,10,0,15,3,12,0
295,89,25,74,97,78,2,14,94,66,66,24,80,54,34,65
296,100,30,70,100,85,70,85,100,70,70,65,100,55,0,60
297,70,30,60,100,79,13,100,90,20,35,10,80,63,16,10
298,30,75,40,67,30,25,100,100,30,20,2,30,70,20,10
299,51,51,22,15,0,91,0,0,10,4,0,5,7,15,6
300,90,30,25,100,85,10,20,20,70,90,40,100,60,0,40
301,10,95,5,80,0,25,0,0,40,0,0,55,0,25,0
302,70,50,50,70,20,20,75,75,20,70,20,70,70,10,10
303,51,50,51,90,51,51,7,7,51,51,51,51,51,63,51
304,89,26,8,86,0,25,0,0,5,0,0,0,4,84,0
305,91,20,71,88,76,99,0,52,69,80,80,76,74,17,39
306,10,47,69,72,30,6,30,63,9,15,1,13,23,46,3
307,78,11,56,96,96,3,2,3,84,64,45,65,54,47,14
308,81,89,20,21,8,13,32,13,20,10,1,7,7,59,1
309,19,83,19,51,39,3,1,1,25,8,1,30,24,33,1
310,90,10,67,83,38,30,19,100,100,94,40,93,80,3,72
311,92,27,93,99,99,72,93,92,41,91,26,97,97,43,3
312,91,8,93,95,95,95,67,67,61,85,41,87,86,0,73
313,52,69,53,62,10,0,0,0,23,18,9,61,22,53,0
314,100,4,73,100,88,96,8,7,93,97,57,100,91,2,64
315,91,20,70,100,20,51,0,0,60,70,60,75,40,30,51
316,97,4,90,93,99,9,74,100,85,99,93,99,88,38,69
317,37,72,61,94,31,0,0,52,30,41,19,52,73,71,14
318,10,90,15,35,20,20,0,10,5,5,5,5,75,35,0
319,58,41,27,64,24,25,10,22,67,13,12,16,56,30,57
320,95,90,30,100,10,0,0,0,70,65,40,65,90,0,0
321,99,19,59,94,59,6,1,78,78,94,38,98,97,8,20
322,60,50,57,73,50,57,61,76,10,50,45,50,44,0,45
324,75,50,70,95,60,25,70,90,55,55,50,70,70,55,30
326,72,37,72,84,70,89,86,84,56,71,41,75,70,13,69
327,11,37,5,10,33,19,2,2,20,9,5,7,7,69,6
328,85,50,85,100,85,85,100,100,50,85,50,85,50,40,15
329,82,80,70,54,86,89,66,35,43,61,8,15,34,73,65
330,4,98,3,20,48,0,100,82,8,6,0,3,3,78,6
331,92,35,20,74,60,54,69,92,79,82,47,87,87,42,81
332,20,97,18,56,60,11,6,30,32,23,12,20,21,59,14
333,51,100,0,20,0,0,0,20,0,0,0,21,0,85,0
334,100,11,88,100,100,73,0,100,100,100,100,100,100,0,82
335,10,95,0,57,0,0,0,0,15,0,0,58,0,51,0
336,60,25,1,50,5,10,85,75,30,25,0,60,0,5,15
337,30,68,10,30,69,12,54,55,20,20,10,45,35,80,5
338,69,30,59,93,74,84,35,60,74,86,63,73,86,60,71
339,75,47,55,60,60,10,75,55,45,55,10,70,30,40,50
340,80,25,30,85,65,20,76,91,65,70,60,68,58,45,55
341,10,100,0,0,60,0,100,100,10,10,0,10,80,50,0
342,84,11,51,75,73,80,70,75,52,74,64,75,78,5,66
343,29,69,19,80,18,0,0,24,94,0,0,21,100,2,0
344,73,24,68,96,64,78,14,100,73,78,26,70,93,34,0
345,63,83,46,84,75,24,34,79,30,56,47,65,31,82,52
346,66,75,85,100,77,0,70,76,62,61,52,58,52,93,11
347,90,20,100,100,100,90,100,50,90,90,85,90,70,50,70
348,14,70,20,30,41,13,61,70,25,17,10,9,64,75,89
349,65,85,15,100,15,0,0,0,10,10,5,20,15,80,0
350,61,41,31,30,70,11,37,72,59,46,10,42,57,41,30
351,4,95,2,69,49,5,13,17,44,31,22,14,16,73,10
352,31,72,58,98,32,15,60,72,21,22,4,30,30,7,8
353,62,50,77,79,50,71,3,62,29,30,30,25,27,75,12
354,77,75,0,73,0,0,65,28,77,78,0,85,69,0,0
355,61,56,55,31,43,57,0,0,33,36,16,53,31,46,1
356,55,70,20,30,20,40,0,20,30,30,15,30,30,60,0
358,90,0,70,80,100,10,65,10,60,70,70,70,65,20,50
359,77,26,41,66,89,7,0,24,83,64,16,76,87,5,79
360,99,18,99,100,100,82,46,50,91,99,100,100,99,32,76
361,80,55,62,92,71,46,0,56,54,56,12,85,77,39,0
362,95,60,19,33,95,60,0,51,85,91,51,98,92,33,51
363,80,43,62,97,62,88,7,4,70,65,30,76,58,64,17
364,100,19,61,94,63,63,69,81,100,100,22,100,100,0,84
365,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
367,61,39,28,72,62,25,1,2,61,31,18,19,62,90,10
368,30,50,60,97,10,30,0,0,70,51,4,60,70,40,51
370,0,100,0,0,0,100,0,0,0,0,0,0,0,50,0
371,0,91,5,15,0,0,0,0,2,0,0,0,0,100,0
373,89,15,49,61,59,20,17,18,85,47,37,41,53,23,66
374,60,80,56,90,38,9,51,67,30,29,29,58,39,56,16
375,89,61,15,44,39,37,37,64,89,64,70,96,70,60,13
376,5,95,10,50,20,10,55,50,15,5,0,5,5,15,0
377,98,15,97,97,64,65,2,98,32,76,58,73,60,8,36
378,68,59,19,70,8,37,100,67,88,41,21,68,81,24,0
379,30,60,50,66,18,11,55,55,60,35,10,27,55,4,4
380,86,8,38,100,59,100,8,100,64,56,65,69,68,75,27
381,27,77,24,65,21,9,9,13,45,33,5,21,19,27,38
382,20,80,20,60,10,0,0,10,30,20,10,30,60,0,0
383,30,70,20,25,40,80,0,20,40,20,5,10,30,80,0
384,60,50,60,90,60,10,50,65,55,50,0,50,70,75,25
385,56,85,55,55,45,5,60,60,20,20,15,15,10,45,10
386,5,70,0,0,0,50,0,75,0,0,0,0,0,100,0
387,100,51,100,100,90,0,0,50,100,100,50,100,80,10,0
388,100,13,51,51,79,80,1,99,80,90,9,89,97,2,0
389,99,25,85,100,90,10,85,80,95,99,85,98,95,65,85
390,25,76,6,92,3,2,0,1,0,1,0,3,11,0,0
391,20,90,30,95,75,0,0,0,10,20,10,15,5,85,5
392,69,61,36,83,58,36,37,100,43,59,59,71,67,52,33
393,98,0,70,71,0,100,0,0,99,98,98,99,100,6,0
394,63,1,99,85,0,6,50,50,0,0,0,0,0,50,0
395,100,12,90,100,80,89,72,100,80,92,81,85,91,10,70
396,100,0,94,88,100,100,60,78,100,100,88,100,92,3,66
397,60,70,30,80,15,15,60,65,5,15,2,9,3,25,25
398,70,50,40,70,0,70,0,60,80,60,55,60,70,20,50
399,0,100,0,60,0,0,60,35,0,0,0,0,0,100,55
400,10,50,10,94,30,0,0,5,5,5,0,7,0,50,0
401,70,51,20,91,51,0,74,75,22,51,30,71,75,51,53
402,68,88,27,80,15,19,100,100,23,22,15,15,55,85,43
403,60,0,100,100,100,0,50,50,50,50,10,100,50,50,0
404,55,85,15,72,89,54,54,54,40,41,9,41,15,59,10
405,86,68,59,91,79,42,23,68,61,68,61,81,84,44,60
406,88,60,100,95,100,65,0,0,40,65,25,90,50,20,0
407,61,30,84,93,77,8,35,62,83,38,9,74,38,8,53
408,70,50,40,80,30,10,0,20,70,50,50,50,70,70,50
409,71,10,83,100,92,11,0,100,51,51,51,83,51,51,0
410,18,90,4,95,13,17,0,0,20,3,0,35,51,43,0
411,15,75,100,75,25,0,100,100,20,20,10,75,10,75,50
412,60,30,30,60,20,25,10,25,55,35,10,40,55,55,55
413,95,40,90,10,85,10,80,10,40,60,60,75,60,40,75
414,75,50,60,81,81,60,81,81,80,61,15,81,81,15,10
416,90,60,50,83,100,100,0,60,0,60,0,30,0,45,15
417,68,12,51,8,68,0,0,20,96,91,38,76,89,17,15
418,95,35,75,75,95,0,0,0,70,90,70,90,70,20,50
419,60,61,22,51,31,69,43,32,62,41,19,25,51,21,51
420,70,45,100,100,90,25,0,65,45,85,10,90,70,30,0
421,10,79,8,10,35,4,4,4,40,10,5,10,15,40,25
422,60,100,71,100,40,80,75,80,52,52,31,60,70,70,19
423,0,100,0,0,5,0,0,5,20,0,0,5,2,100,0
425,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
426,81,45,79,80,80,66,42,82,66,72,72,68,64,37,63
427,11,100,11,90,0,0,0,0,20,20,20,20,20,20,20
428,83,70,90,93,73,92,34,90,66,91,60,97,85,36,89
429,94,3,95,96,96,50,0,50,86,96,79,97,80,36,50
430,65,60,40,60,95,55,5,55,20,45,30,40,60,0,10
431,81,71,61,61,75,26,47,70,71,63,49,64,59,74,41
432,97,3,0,7,0,51,100,93,82,52,51,82,81,7,51
433,20,70,63,59,56,26,11,26,70,51,0,67,70,8,100
434,59,7,62,100,35,0,100,100,61,69,84,98,70,0,33
435,34,45,50,71,32,16,0,0,16,27,14,33,5,35,20
436,30,75,30,61,100,0,0,50,40,40,0,20,52,81,0
437,61,84,10,79,0,84,0,0,64,18,0,26,12,60,0
438,15,62,41,37,23,20,34,24,25,20,17,20,30,74,80
439,2,97,0,68,2,51,52,78,31,9,7,56,38,29,22
440,50,90,20,75,20,10,35,75,15,15,10,25,15,25,25
441,45,55,55,75,45,5,80,85,75,45,45,45,55,60,25
442,11,90,20,19,89,0,0,0,20,0,0,0,0,40,5
443,100,15,12,85,59,21,100,84,80,68,74,74,77,34,79
444,80,60,50,50,75,35,0,50,70,75,60,70,70,40,0
445,48,74,20,64,23,0,0,0,23,11,0,3,8,50,0
446,75,40,60,75,60,40,75,90,60,60,25,55,55,25,25
448,76,20,80,100,95,10,0,66,80,70,40,80,100,0,75
449,10,88,11,12,9,10,9,11,87,10,11,10,9,88,13
450,75,30,70,90,75,0,25,60,60,55,45,70,70,25,60
452,41,67,42,59,62,21,37,59,58,58,39,65,62,81,40
453,100,0,30,100,100,0,0,100,100,100,60,100,100,8,0
454,25,85,25,25,25,75,75,75,25,25,25,25,50,85,15
455,100,14,80,81,81,73,85,68,100,100,79,100,100,30,83
456,7,96,8,6,2,70,51,49,16,15,6,0,6,17,17
457,55,95,4,60,5,48,0,20,10,1,0,6,10,85,0
458,80,85,90,100,100,20,46,46,100,100,20,100,0,30,30
459,90,100,10,10,5,0,0,0,80,60,0,5,60,60,0
460,91,92,100,100,95,89,0,87,51,83,84,92,51,51,18
461,90,15,100,100,100,10,80,90,80,90,50,90,90,10,50
462,0,100,0,0,0,0,0,0,13,0,0,0,20,100,0
463,15,70,0,40,50,80,0,5,60,60,10,20,40,90,0
464,79,51,82,94,82,84,51,91,51,79,57,88,89,16,81
465,90,50,20,100,0,90,100,100,80,80,0,30,0,50,0
466,75,60,20,40,60,70,15,10,85,70,40,80,90,55,30
467,20,80,30,40,20,20,20,20,10,10,10,20,30,70,10
468,94,30,75,91,88,84,0,0,54,85,76,88,26,14,76
469,91,20,79,97,60,74,100,100,81,81,82,82,99,7,60
470,71,60,30,79,70,32,83,70,60,68,58,52,61,79,74
471,75,59,0,88,43,46,62,45,23,7,0,9,25,0,19
472,91,15,15,100,41,90,3,5,79,89,46,88,59,16,1
473,30,84,25,75,25,19,1,5,4,56,1,7,24,84,0
474,33,50,50,50,100,51,50,100,33,33,33,33,16,50,33
475,98,61,98,99,100,59,99,91,92,83,93,99,73,37,91
476,70,20,60,60,70,40,80,90,70,70,40,70,80,30,50
477,90,10,80,100,90,0,80,100,70,60,10,80,60,10,60
478,60,57,44,43,33,44,6,70,25,25,25,58,59,42,42
479,71,41,68,78,77,41,68,91,74,76,56,74,87,73,60
480,60,70,20,60,100,100,10,0,15,55,25,55,55,45,50
481,27,81,95,92,11,7,4,20,1,2,2,2,4,40,2
482,20,94,0,20,0,1,0,0,6,5,0,11,11,15,0
483,84,36,57,82,72,64,34,66,54,60,52,53,67,67,80
484,0,100,50,50,0,0,0,0,0,0,0,0,0,100,0
486,88,25,4,85,64,95,95,99,69,92,40,92,81,11,91
487,26,90,94,100,68,0,0,83,16,25,14,24,0,68,0
488,69,68,87,99,61,85,60,97,59,71,31,77,70,83,57
490,51,76,31,98,23,7,3,15,15,51,4,29,2,51,6
491,62,41,50,51,51,42,5,5,40,40,8,40,25,50,7
492,100,0,100,100,100,0,0,100,100,100,100,100,100,25,0
493,15,85,75,65,10,0,0,0,15,20,0,20,5,15,0
494,100,35,93,35,94,23,0,75,72,88,83,100,85,31,0
495,80,30,55,85,90,10,0,0,80,75,5,80,70,0,0
496,12,81,26,67,28,15,4,30,15,28,23,24,22,0,10
497,20,90,10,10,0,0,0,0,5,5,0,5,10,90,0
498,81,49,29,79,100,33,0,34,70,35,9,81,100,0,5
499,86,30,89,73,91,87,96,92,86,85,83,83,87,87,85
500,10,90,10,30,30,30,0,0,60,20,20,20,60,50,0
501,65,55,61,85,75,75,60,45,60,60,50,60,80,25,75
503,26,84,8,30,73,7,0,0,24,11,6,21,90,69,2
504,92,28,54,100,39,55,0,51,73,56,26,60,72,59,0
505,70,80,40,55,50,10,35,100,50,55,50,60,50,45,20
506,40,81,68,99,44,44,14,53,31,33,3,32,16,5,6
507,100,2,98,100,67,72,100,100,99,99,99,100,100,3,23
508,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0
509,10,90,30,38,10,0,0,0,30,1,0,1,0,70,0
510,91,18,29,86,76,92,51,30,61,65,59,81,93,17,10
511,20,76,25,100,61,0,0,92,34,5,2,67,35,11,0
512,50,70,50,70,50,0,0,50,25,25,0,70,15,25,0
513,79,16,52,95,75,2,0,0,61,66,55,85,55,2,0
514,10,92,20,50,0,0,0,0,10,0,0,10,0,99,0
515,10,70,1,75,60,15,10,5,30,15,5,15,35,40,30
517,100,30,100,100,100,10,0,20,60,100,85,100,100,0,90
518,50,50,50,100,50,0,100,100,0,50,50,50,50,100,0
519,69,51,62,75,38,82,0,60,79,33,0,34,68,0,0
520,63,28,53,73,61,87,53,61,80,65,31,73,67,18,57
521,10,91,8,8,8,58,0,0,61,30,6,6,11,75,0
522,0,100,0,0,0,0,0,0,0,0,0,0,0,2,0
523,70,51,85,96,20,20,80,87,81,82,40,51,83,91,60
524,14,81,14,64,80,2,0,0,21,4,4,70,69,50,0
525,90,10,80,95,60,10,20,25,80,90,60,90,90,5,90
