sub,covid_emo_distress_1_1,covid_emo_distress_1_2,covid_emo_distress_1_3,covid_emo_distress_1_4,covid_emo_distress_1_5,covid_emo_distress_1_6,covid_emo_distress_1_7,covid_emo_distress_1_8,covid_emo_distress_2_1,covid_emo_distress_2_2,covid_emo_distress_2_3,covid_emo_distress_2_4,covid_emo_distress_2_5,covid_emo_distress_2_6,covid_emo_distress_2_7
763,84,8,71,97,94,18,21,44,78,91,91,91,82,9,81
764,88,15,15,90,21,86,21,19,81,79,23,76,91,5,15
765,84,71,70,70,68,66,68,73,70,68,66,62,64,60,66
766,39,62,22,49,36,19,22,20,35,39,16,51,39,15,24
767,10,90,5,90,0,0,0,10,10,0,0,0,29,60,0
768,26,71,27,60,29,1,23,42,30,22,9,14,21,40,8
769,5,95,20,100,50,0,0,0,10,5,0,70,5,0,0
770,100,13,76,78,100,5,5,5,61,100,72,74,61,43,13
771,70,86,88,91,23,55,0,37,39,35,39,36,36,50,50
772,100,21,93,99,59,8,10,30,95,52,98,78,96,100,74
773,18,81,5,97,0,0,100,100,5,33,0,57,0,87,7
774,81,26,68,81,96,90,0,16,93,96,67,81,77,20,64
775,100,0,100,100,100,100,0,100,75,76,84,84,62,0,76
776,56,83,31,80,53,5,0,0,10,15,13,22,16,13,0
777,83,33,77,85,82,33,27,38,72,90,68,71,78,36,57
778,81,18,37,84,51,1,2,64,41,66,66,66,66,14,0
779,66,78,15,21,57,8,84,93,37,16,12,6,13,84,17
780,87,14,75,70,100,39,24,44,51,52,54,58,53,47,23
781,24,87,76,100,100,0,100,100,0,0,0,0,0,0,1
782,100,25,90,100,95,40,90,95,95,100,90,100,90,10,90
783,40,71,51,71,9,9,8,20,30,40,2,40,21,51,10
784,75,25,70,90,60,0,0,100,10,50,30,75,30,20,0
785,100,0,100,100,100,100,100,100,61,85,75,80,85,0,70
786,99,6,55,100,99,82,0,67,100,100,100,100,100,10,86
787,83,31,70,80,100,35,0,0,75,97,82,76,23,18,59
788,51,51,17,85,0,100,0,100,97,56,2,2,1,98,0
789,20,81,90,100,10,5,70,97,70,59,51,72,58,98,9
790,75,20,69,80,90,45,40,60,80,75,65,70,75,32,65
791,72,22,4,99,61,65,2,60,57,70,22,63,78,65,55
792,76,16,75,90,88,24,61,78,78,88,61,80,55,34,68
793,100,0,100,100,100,0,0,80,100,100,90,100,100,20,0
794,41,56,13,76,34,54,0,6,60,39,34,57,62,12,60
795,82,21,65,78,69,17,51,61,59,58,57,61,72,24,51
